Video_Origen	ID_Video	Usuario	Comentario	Likes	Hace cuanto tiempo
https://www.youtube.com/watch?v=1aIuVPHeIts	1aIuVPHeIts	@victoriarojas3597	ME GUSTAN MUCHO TUS CLASSES	0	2 years ago
https://www.youtube.com/watch?v=1oro-Dbv610	1oro-Dbv610	@peterjeanguerrero305	Super exelente me encanta 100	1	2 years ago
https://www.youtube.com/watch?v=1oro-Dbv610	1oro-Dbv610	@edgardomendezvargas6630	Que interesante. A practicar!	2	3 years ago
https://www.youtube.com/watch?v=1oro-Dbv610	1oro-Dbv610	@jsonreviewing110	Mil gracias ❤️	0	2 years ago
https://www.youtube.com/watch?v=1oro-Dbv610	1oro-Dbv610	@jsonreviewing110	Excelente!	1	3 years ago
https://www.youtube.com/watch?v=1p0LGIqR_k0	1p0LGIqR_k0	@MagicalParadise-b5s	❤❤❤❤	1	4 weeks ago
https://www.youtube.com/watch?v=1p0LGIqR_k0	1p0LGIqR_k0	@veraacosta6915	Hola, saluditos, ¿Como se dice feliz Navidad?... gracias	1	5 months ago
https://www.youtube.com/watch?v=1p0LGIqR_k0	1p0LGIqR_k0	@SuperColon2	Me gustaría empezar de nuevo con Curso 1.  Donde le encuentro?	0	5 months ago
https://www.youtube.com/watch?v=1p0LGIqR_k0	1p0LGIqR_k0	@jsonreviewing110	https://youtube.com/playlist?list=PLB0l2sRa1n4qC0F8NJrISHN47JOVKquxJ&si=ADEVrWVjASmI8DCO	0	5 months ago
https://www.youtube.com/watch?v=1r_ugCtCgnM	1r_ugCtCgnM	@julycruz2587	:(	0	2 years ago
https://www.youtube.com/watch?v=1r_ugCtCgnM	1r_ugCtCgnM	@julycruz2587	Hola mserlova yo macelsp 4	0	2 years ago
https://www.youtube.com/watch?v=1r_ugCtCgnM	1r_ugCtCgnM	@karinarodriguez4385	Si yo quiero decir hay viento y rayos, como diferenció a si quiero decir tormenta?	0	4 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@williamsaboriomarin2095	Muchas gracias, Dios te bendiga!	1	1 year ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@hipokmpo07	Buenas Imparten Clases	1	2 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@IleanaCubero	Mi nombre es Ileana cubero y quiero llevar clases para enseñarles a los niños, como puedo hacer un contacto, soy adulta y tengo tiempo libre	0	3 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@FabioJimenez-q1x	Excelente, gracias.	1	3 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@edgardomendezvargas6630	"Excelente. Solo una duda: cómo podemos diferenciar ""presente"" de ""ahora""?"	6	3 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@jsonreviewing110	No por ahora corazón	0	1 year ago
